,title,address,district,latitude,longitude,id,gender,type
128,nafi bin jubair elementary schoo,3355 suhail - Al Yarmuk Dist.,Al Yarmuk ,24.8110754251724,46.7713530321972,10100003139,بنين,إبتدائي
129,nu'man ibn malik middle school,7361 abdul rahman al faqih - Al Hamra Dist.,Al Hamra ,24.7720157047738,46.750425546418,10100003129,بنين,متوسط
130,Private School altnyeer,4122 abi jafar al mansur - Al Yarmuk Dist.,Al Yarmuk ,24.8079667205419,46.7790436276512,10100003139,كلاهما,جميع المراحل
131,resalet alhuda international schools,2462 an nasr branch rd - Al Aziziyah Dist.,Al Aziziyah ,24.5879545047283,46.7616813447038,10100003029,كلاهما,جميع المراحل
132,primary school 315,3284 al faria - Ishbiliyah Dist.,Ishbiliyah ,24.7919359852376,46.7789619288017,10100003137,بنات,إبتدائي
135,private schools assrar,6719 Al Meena - Al Mughrazat Dist.,Al Mughrazat ,24.7583641444795,46.7237076201328,10100003105,كلاهما,جميع المراحل
136,riyadh alrayyan schools,9470 Al Imam Al Shafie - Al Rayan Dist.,Al Rayan ,24.7257645987431,46.7844381279451,10100003090,كلاهما,جميع المراحل
137,primary and intermediate schoo,8249 akli ibn abdul karim - Ishbiliyah Dist.,Ishbiliyah ,24.8015442102653,46.8085345929991,10100003137,كلاهما,متوسط
138,private schools princes for boys,7996 an najah - Ishbiliyah Dist.,Ishbiliyah ,24.7993158775706,46.8051974501583,10100003137,بنين,جميع المراحل
139,riyadh najed schoo,2471 al imam abdullah ibn saud ibn abdul aziz branch rd - Al Hamra Dist.,Al Hamra ,24.7772448180218,46.7352400823004,10100003129,كلاهما,جميع المراحل
141,rwaad alomaraa national schools,3324  Abdullah Bin Qays  - Ishbiliyah Dist.,Ishbiliyah ,24.7882141116476,46.7792656669992,10100003137,كلاهما,جميع المراحل
142,saut girls intermidate and secondary schoo,8661 tayma street  - Assafarat Dist.,Assafarat ,24.6915469259519,46.6295454804938,10100003099,بنات,متوسط
145,saut kingredant and elementary schoo,8982 p street - Assafarat Dist.,Assafarat ,24.6836272865708,46.6169120297159,10100003099,كلاهما,إبتدائي
146,rwaad aljazera  of the civil  boys complex schools,2754 al qadsiyyah - Al Mughrazat Dist.,Al Mughrazat ,24.7569365113013,46.719758908559,10100003105,بنين,جميع المراحل
147,sahafah schoo,4222 al imam saud ibn faysal rd - Al Sahafah Dist.,Al Sahafah ,24.7999271152529,46.6441533404598,10100003123,كلاهما,إبتدائي و متوسط
148,rwaad aljazera  of the civil  boys complex schools,2754 al qadsiyyah - Al Mughrazat Dist.,Al Mughrazat ,24.7570162685735,46.7197239261371,10100003105,بنين,إبتدائي و متوسط
149,saut boys intermidate and secondary schoo,7811 dareen street - Assafarat Dist.,Assafarat ,24.6838116947986,46.6335861027143,10100003099,بنين,إبتدائي وحضانة
150,مدرسة عمرو بن قيس الإبتدائية,7479 Obadah Bin Amdr Al Ansari - Al Rimal Dist.,Al Rimal ,24.8361434467717,46.7971929468267,10100003153,بنين,إبتدائي
151,متوسطة زيد بن سهل,3525 al hawashlah - Al Yarmuk Dist.,Al Yarmuk ,24.8158911369867,46.7911340269178,10100003139,بنين,متوسط
152,مدارس التعلم النموذجية للبنات,9103 al amir abdul aziz ibn musaid ibn jalawi - Al Murabba Dist.,Al Murabba ,24.6510855619999,-313.285739885,10100003021,بنات,جميع المراحل
153,مجمع مدارس رحاب المعرفة,3872 street no. 390 - Al Munisiyah Dist.,Al Munisiyah ,24.82653935534,46.7858033455832,10100003140,بنين,جميع المراحل
154,إبتدائية بصمة التعليم,4247 street no. 99 - Al Munisiyah Dist.,Al Munisiyah ,24.8258602274258,46.7894745267393,10100003140,بنين,إبتدائي
155,متوسطة مريم بنت عمران,7326 muhammad al manofi - Al Hamra Dist.,Al Hamra ,24.7797004679402,46.7547880390511,10100003129,بنات,متوسط
157,حضانة مدرسة 54,6797 ad duah - Al Shohda Dist.,Al Shohda ,24.7832579560854,46.7375861513072,10100003016,كلاهما,حضانة
158,schoo,3735 Al Hadrah - Ghirnatah Dist.,Ghirnatah ,24.8016259605491,46.7575650469302,10100003155,كلاهما,جميع المراحل
159,school  asmaa bent Abu Bakr primary,6353 Ali Al Qabesi - Al Hamra Dist.,Al Hamra ,24.7712665012797,46.7607894980652,10100003129,بنات,إبتدائي
162,school wahab bin manbah intermedia,3087 Saeed Al Sami - Al Khaleej Dist.,Al Khaleej ,24.7687858270676,46.7871700730435,10100003055,بنين,جميع المراحل
164,school maaqal ibn yasar primary,3104 an nabighah ash shibani - Al Khaleej Dist.,Al Khaleej ,24.7684907739027,46.7872766728967,10100003055,بنين,إبتدائي
166,school my character,3628 at tahliyah - Al Aqeeq Dist.,Al Aqeeq ,24.7823852400501,46.6286749317848,10100003107,كلاهما,جميع المراحل
169,schools alebtikariyah  civ,7238 abdul rahman ibn mihanna - King Faisal Dist.,King Faisal ,24.7581665291123,46.7697436372561,10100003027,كلاهما,جميع المراحل
170,schools ibn khaldun civ,3079 abdulaziz hasan al faduli - Al Nafel Dist.,Al Nafel ,24.7724861780924,46.6702458698499,10100003083,بنين,جميع المراحل
171,مدارس أجيال الحضارة,3475 as sail al kabir - Al Ghadeer Dist.,Al Ghadeer ,24.7723349189637,46.6534450452511,10100003109,كلاهما,جميع المراحل
172,مدارس ابن خلدون,3783 abi jaafar al mansur - Al Yarmuk Dist.,Al Yarmuk ,24.8056186089347,46.775585408255,10100003139,بنات,إبتدائي
173,مدارس المدينة الأكاديمية,8283 ushba - Al Shohda Dist.,Al Shohda ,24.7967127373159,46.7381527564934,10100003016,كلاهما,جميع المراحل
175,schools prospects,2545 wadi utbah - Al Nakheel Dist.,Al Nakheel ,24.7359763534775,46.5957430249816,10100003108,كلاهما,جميع المراحل
176,schools sunrise typical knowledge benin,6574 al liwa - Al Yarmuk Dist.,Al Yarmuk ,24.7959523737267,46.7675757963008,10100003139,بنين,جميع المراحل
177,schools generations of civilization,3958 muhammad ibn abdullah al burqi - Al Munisiyah Dist.,Al Munisiyah ,24.8234468650492,46.7686782398023,10100003140,كلاهما,جميع المراحل
178,مدارس شروق المعرفة,6955 ath thumamah rd - Al Rabie Dist.,Al Rabie ,24.7861513177004,46.6467662335278,10100003104,كلاهما,متوسط
179,مدارس شروق المعرفة,3761 abi jaafar al mansur - Al Yarmuk Dist.,Al Yarmuk ,24.8055353277995,46.7753498416155,10100003139,بنات,جميع المراحل
180,مدارس شروق المعرفة,6582 nahr as subat - East Naseem Dist.,East Naseem ,24.7182734845132,46.8502580905853,10100003080,بنين,ثانوي
181,مدرسة سراقة بن مالك,"""8827 hera'a street - Assafarat Dist.""",Assafarat ,24.6822590964924,46.6168644404956,10100003099,بنات,إبتدائي
182,تالات,3761 abi jaafar al mansur - Al Yarmuk Dist.,Al Yarmuk ,24.8054877385795,46.7752237301822,10100003139,بنات,حضانة
184,alat schoo,7425 Salem Bin Maaqil - Al Nakheel Dist.,Al Nakheel ,24.7365744904878,46.6101901009382,10100003108,بنات,إبتدائي
185,مدرسة طويق ,3696 attawqi street - Assafarat Dist.,Assafarat ,24.6787144927475,46.6290957623637,10100003099,بنات,متوسط وثانوي
186,مدرسة طويق ,6815 al muharibi - Ishbiliyah Dist.,Ishbiliyah ,24.7886238817542,46.8003291188817,10100003137,كلاهما,جميع المراحل
187,مدرسة يونس بن عبيد ,2764 az zumrah - Al Fayha Dist.,Al Fayha ,24.6804766255004,46.8036650074652,10100003133,بنين,متوسط
